Id;ID_Articulo;ID_Usuario;ID_Establecimiento;FechaPesaje;HoraPesaje;Lote;NrodePieza;NrodeCaja;NrodePallet;FechaElaboracion;FechaVencimiento;Peso;Peso_Real;CodBarraArt_Int;CodBarraCaja_Int;CodBarraPallet_Int;upsize_ts
4;NULL;NULL;NULL;2021-08-31 00:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0x00000000000036B1
5;NULL;NULL;NULL;2021-08-31 08:15:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0x00000000000036B2
9;1;1;1;NULL;NULL;32432;1;1;1;NULL;NULL;27,37;NULL;202108312013243227,37;202108312011;20210831201;0x00000000000036B3
10;1;1;1;NULL;NULL;32432;2;1;1;NULL;NULL;27,38;NULL;202108312023243227,38;202108312011;20210831201;0x00000000000036B4
11;1;1;1;NULL;NULL;32432;3;1;1;NULL;NULL;27,38;NULL;202108312033243227,38;202108312011;20210831201;0x00000000000036B5
12;1;1;1;NULL;NULL;32432;4;1;1;NULL;NULL;13,68;NULL;202108312043243213,68;202108312011;20210831201;0x00000000000036B6
13;1;1;1;NULL;NULL;32432;5;2;1;NULL;NULL;13,68;NULL;202108312053243213,68;202108312021;20210831201;0x00000000000036B7
14;1;1;1;NULL;NULL;32432;6;2;1;NULL;NULL;13,7;NULL;202108312063243213,70;202108312021;20210831201;0x00000000000036B8
15;1;1;1;NULL;NULL;32432;7;2;1;NULL;NULL;13,7;NULL;202108312073243213,70;202108312021;20210831201;0x00000000000036B9
16;1;1;1;NULL;NULL;32432;8;2;1;NULL;NULL;13,7;NULL;202108312083243213,70;202108312021;20210831201;0x00000000000036BA
17;1;1;1;NULL;NULL;32432;9;3;1;NULL;NULL;13,68;NULL;202108312093243213,68;202108312031;20210831201;0x00000000000036BB
18;1;1;1;NULL;NULL;32432;10;3;1;NULL;NULL;13,7;NULL;2021083120103243213,70;202108312031;20210831201;0x00000000000036BC
19;1;1;1;NULL;NULL;32432;11;3;1;NULL;NULL;13,7;NULL;2021083120113243213,70;202108312031;20210831201;0x00000000000036BD
20;1;1;1;NULL;NULL;32432;12;3;1;NULL;NULL;13,7;NULL;2021083120123243213,70;202108312031;20210831201;0x00000000000036BE
21;1;1;1;NULL;NULL;32432;13;4;1;NULL;NULL;13,68;NULL;2021083120133243213,68;202108312041;20210831201;0x00000000000036BF
22;1;1;1;NULL;NULL;RR3535;1;1;1;NULL;NULL;13,7;NULL;20210831201RR353513,70;202108312011;20210831201;0x00000000000036C0
23;1;1;1;NULL;NULL;RR3535;2;1;1;NULL;NULL;13,7;NULL;20210831202RR353513,70;202108312011;20210831201;0x00000000000036C1
25;NULL;NULL;NULL;1900-01-01 09:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0x00000000000036C2
26;NULL;NULL;NULL;NULL;1900-01-01 09:01:02.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0x00000000000036C3
27;NULL;NULL;NULL;1900-01-01 00:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0x00000000000036C4
28;NULL;NULL;NULL;2021-01-01 00:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0x00000000000036C5
30;NULL;NULL;NULL;2021-08-31 00:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0x00000000000036C6
32;1;1;1;2021-12-11 00:00:00.000;1900-01-01 08:06:11.000;BARR3333;228;56;20;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220228BARR333313,70;20211112205620;202111122020;0x00000000000036C7
33;1;1;1;2021-12-11 00:00:00.000;1900-01-01 08:08:14.000;BARR3333;229;56;20;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220229BARR333313,70;20211112205620;202111122020;0x00000000000036C8
34;1;1;1;2021-12-11 00:00:00.000;1900-01-01 08:08:26.000;BARR3333;230;56;20;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;27,3;2021111220230BARR333327,30;20211112205620;202111122020;0x00000000000036C9
35;1;1;1;2021-12-11 00:00:00.000;1900-01-01 08:08:33.000;BARR3333;231;57;20;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220231BARR333313,70;20211112205720;202111122020;0x00000000000036CA
36;1;1;1;2021-12-11 00:00:00.000;1900-01-01 09:22:38.000;BARR444;232;57;20;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220232BARR44413,70;20211112205720;202111122020;0x00000000000036CB
37;1;1;1;2021-12-11 00:00:00.000;1900-01-01 09:22:52.000;BARR444;233;57;20;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220233BARR44413,70;20211112205720;202111122020;0x00000000000036CC
38;1;1;1;2021-12-11 00:00:00.000;1900-01-01 09:22:59.000;BARR444;234;57;20;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220234BARR44413,70;20211112205720;202111122020;0x00000000000036CD
39;1;1;1;2021-12-11 00:00:00.000;1900-01-01 09:31:56.000;BARR444;235;58;21;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220235BARR44413,70;20211112205821;202111122021;0x00000000000036CE
40;1;1;1;2021-12-11 00:00:00.000;1900-01-01 09:32:11.000;BARR444;236;58;22;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220236BARR44413,70;20211112205822;202111122022;0x00000000000036CF
41;1;1;1;2021-12-11 00:00:00.000;1900-01-01 09:32:37.000;BARR444;237;58;23;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220237BARR44413,70;20211112205823;202111122023;0x00000000000036D0
42;1;1;1;2021-12-11 00:00:00.000;1900-01-01 09:33:18.000;BARR444;238;58;24;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220238BARR44413,70;20211112205824;202111122024;0x00000000000036D1
43;1;1;1;2021-12-11 00:00:00.000;1900-01-01 09:34:27.000;BARR444;239;59;24;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220239BARR44413,70;20211112205924;202111122024;0x00000000000036D2
44;1;1;1;2021-12-11 00:00:00.000;1900-01-01 09:34:36.000;BARR444;240;59;24;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,34;2021111220240BARR44413,34;20211112205924;202111122024;0x00000000000036D3
45;1;1;1;2021-12-11 00:00:00.000;1900-01-01 09:34:44.000;BARR444;241;59;24;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220241BARR44413,70;20211112205924;202111122024;0x00000000000036D4
46;1;1;1;2021-12-11 00:00:00.000;1900-01-01 09:34:50.000;BARR444;242;59;24;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220242BARR44413,70;20211112205924;202111122024;0x00000000000036D5
47;1;1;1;2021-12-11 00:00:00.000;1900-01-01 09:35:32.000;BARR444;243;60;25;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220243BARR44413,70;20211112206025;202111122025;0x00000000000036D6
48;1;1;1;2021-12-11 00:00:00.000;1900-01-01 09:40:51.000;BARR555;244;61;26;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220244BARR55513,70;20211112206126;202111122026;0x00000000000036D7
49;1;1;1;2021-12-11 00:00:00.000;1900-01-01 09:40:56.000;BARR555;245;61;26;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220245BARR55513,70;20211112206126;202111122026;0x00000000000036D8
50;1;1;1;2021-12-11 00:00:00.000;1900-01-01 09:41:01.000;BARR555;246;61;26;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220246BARR55513,70;20211112206126;202111122026;0x00000000000036D9
51;1;1;1;2021-12-11 00:00:00.000;1900-01-01 09:41:06.000;BARR555;247;61;26;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220247BARR55513,70;20211112206126;202111122026;0x00000000000036DA
52;1;1;1;2021-12-11 00:00:00.000;1900-01-01 09:41:32.000;BARR555;248;62;26;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,69;2021111220248BARR55513,69;20211112206226;202111122026;0x00000000000036DB
53;1;1;1;2021-12-11 00:00:00.000;1900-01-01 09:41:37.000;BARR555;249;62;26;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220249BARR55513,70;20211112206226;202111122026;0x00000000000036DC
54;1;1;1;2021-12-11 00:00:00.000;1900-01-01 09:41:42.000;BARR555;250;62;26;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220250BARR55513,70;20211112206226;202111122026;0x00000000000036DD
55;1;1;1;2021-12-11 00:00:00.000;1900-01-01 09:42:00.000;BARR555;251;62;26;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220251BARR55513,70;20211112206226;202111122026;0x00000000000036DE
56;1;1;1;2021-12-11 00:00:00.000;1900-01-01 09:42:36.000;BARR555;252;63;27;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220252BARR55513,70;20211112206327;202111122027;0x00000000000036DF
57;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:12:16.000;BARR666;252;63;27;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220252BARR66613,70;20211112206327;202111122027;0x00000000000036E0
58;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:12:35.000;BARR666;253;63;27;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220253BARR66613,70;20211112206327;202111122027;0x00000000000036E1
59;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:12:44.000;BARR666;254;63;27;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220254BARR66613,70;20211112206327;202111122027;0x00000000000036E2
60;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:12:51.000;BARR666;255;63;27;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220255BARR66613,70;20211112206327;202111122027;0x00000000000036E3
61;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:13:16.000;BARR666;256;64;27;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220256BARR66613,70;20211112206427;202111122027;0x00000000000036E4
62;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:13:33.000;BARR666;257;64;27;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220257BARR66613,70;20211112206427;202111122027;0x00000000000036E5
63;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:13:38.000;BARR666;258;64;27;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220258BARR66613,70;20211112206427;202111122027;0x00000000000036E6
64;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:13:44.000;BARR666;259;64;27;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220259BARR66613,70;20211112206427;202111122027;0x00000000000036E7
65;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:22:00.000;BARR6666;260;65;28;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220260BARR666613,70;20211112206528;202111122028;0x00000000000036E8
66;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:22:11.000;BARR6666;261;65;28;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220261BARR666613,70;20211112206528;202111122028;0x00000000000036E9
67;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:22:17.000;BARR6666;262;65;28;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220262BARR666613,70;20211112206528;202111122028;0x00000000000036EA
68;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:22:22.000;BARR6666;263;65;28;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220263BARR666613,70;20211112206528;202111122028;0x00000000000036EB
69;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:22:56.000;BARR6666;264;66;28;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220264BARR666613,70;20211112206628;202111122028;0x00000000000036EC
70;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:23:01.000;BARR6666;265;66;28;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220265BARR666613,70;20211112206628;202111122028;0x00000000000036ED
71;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:23:07.000;BARR6666;266;66;28;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220266BARR666613,70;20211112206628;202111122028;0x00000000000036EE
72;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:23:12.000;BARR6666;267;66;28;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220267BARR666613,70;20211112206628;202111122028;0x00000000000036EF
73;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:23:57.000;BARR6666;268;67;29;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220268BARR666613,70;20211112206729;202111122029;0x00000000000036F0
74;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:26:46.000;BARR6666;269;67;29;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220269BARR666613,70;20211112206729;202111122029;0x00000000000036F1
75;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:30:02.000;BARR6666;270;67;29;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220270BARR666613,70;20211112206729;202111122029;0x00000000000036F2
76;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:30:08.000;BARR6666;271;67;29;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,67;2021111220271BARR666613,67;20211112206729;202111122029;0x00000000000036F3
77;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:30:33.000;BARR6666;272;68;29;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,64;2021111220272BARR666613,64;20211112206829;202111122029;0x00000000000036F4
78;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:30:37.000;BARR6666;273;68;29;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220273BARR666613,70;20211112206829;202111122029;0x00000000000036F5
79;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:30:42.000;BARR6666;274;68;29;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220274BARR666613,70;20211112206829;202111122029;0x00000000000036F6
80;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:30:46.000;BARR6666;275;68;29;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220275BARR666613,70;20211112206829;202111122029;0x00000000000036F7
81;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:31:00.000;BARR6666;276;69;30;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220276BARR666613,70;20211112206930;202111122030;0x00000000000036F8
82;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:32:57.000;BARR6666;277;69;30;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220277BARR666613,70;20211112206930;202111122030;0x00000000000036F9
83;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:33:02.000;BARR6666;278;69;30;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220278BARR666613,70;20211112206930;202111122030;0x00000000000036FA
84;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:33:07.000;BARR6666;279;69;30;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,69;2021111220279BARR666613,69;20211112206930;202111122030;0x00000000000036FB
85;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:33:29.000;BARR6666;280;70;30;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220280BARR666613,70;20211112207030;202111122030;0x00000000000036FC
86;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:51:27.000;BARR777;244;61;26;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220244BARR77713,70;20211112206126;202111122026;0x00000000000036FD
87;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:51:31.000;BARR777;245;61;26;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220245BARR77713,70;20211112206126;202111122026;0x00000000000036FE
88;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:51:37.000;BARR777;246;61;26;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220246BARR77713,70;20211112206126;202111122026;0x00000000000036FF
89;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:51:41.000;BARR777;247;61;26;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220247BARR77713,70;20211112206126;202111122026;0x0000000000003701
90;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:52:22.000;BARR777;248;62;26;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220248BARR77713,70;20211112206226;202111122026;0x0000000000003702
91;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:52:32.000;BARR777;249;62;26;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,68;2021111220249BARR77713,68;20211112206226;202111122026;0x0000000000003703
92;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:52:36.000;BARR777;250;62;26;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220250BARR77713,70;20211112206226;202111122026;0x0000000000003704
93;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:52:41.000;BARR777;251;62;26;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,68;2021111220251BARR77713,68;20211112206226;202111122026;0x0000000000003705
94;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:53:25.000;BARR777;252;63;27;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220252BARR77713,70;20211112206327;202111122027;0x0000000000003706
95;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:53:30.000;BARR777;253;63;27;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220253BARR77713,70;20211112206327;202111122027;0x0000000000003707
96;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:53:35.000;BARR777;254;63;27;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220254BARR77713,70;20211112206327;202111122027;0x0000000000003708
97;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:53:40.000;BARR777;255;63;27;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220255BARR77713,70;20211112206327;202111122027;0x0000000000003709
